
# Surface 0 of 1 surfaces

# Curve title: "g(x,y)"

# IsoCurve 0, 100 points
# x y z type
-10 -10  380 i
 3.93939 -9.43775  89.4044 i
 4.14141 -9.43775  88.3222 i
 4.34343 -9.43775  87.3216 i
 4.54545 -9.43775  86.4026 i
 4.74747 -9.43775  85.5653 i
 4.94949 -9.43775  84.8096 i
 5.15152 -9.43775  84.1355 i
 5.35354 -9.43775  83.543 i
 5.55556 -9.43775  83.0322 i
 5.75758 -9.43775  82.603 i
 5.9596 -9.43775  82.2554 i
 6.16162 -9.43775  81.9894 i
 6.36364 -9.43775  81.8051 i
 6.56566 -9.43775  81.7023 i
 6.76768 -9.43775  81.6812 i
 6.9697 -9.43775  81.7418 i
 7.17172 -9.43775  81.8839 i
 7.37374 -9.43775  82.1077 i
 7.57576 -9.43775  82.4131 i
 7.77778 -9.43775  82.8001 i
 7.9798 -9.43775  83.2688 i
 8.18182 -9.43775  83.8191 i
 8.38384 -9.43775  84.451 i
 8.58586 -9.43775  85.1645 i
 8.78788 -9.43775  85.9596 i
 8.9899 -9.43775  86.8364 i
 9.19192 -9.43775  87.7948 i
 9.39394 -9.43775  88.8348 i
 9.59596 -9.43775  89.9565 i
 9.79798 -9.43775  91.1597 i
 10 -9.43775  92.4446 i

# IsoCurve 8, 100 points
# x y z type
-10 -9.35743  358.566 i
-9.79798 -9.35743  351.867 i
-9.59596 -9.35743  345.251 i
-9.39394 -9.35743  338.716 i
-9.19192 -9.35743  332.263 i
-8.9899 -9.35743  325.891 i
-8.78788 -9.35743  319.601 i
-8.58586 -9.35743  313.393 i
-8.38384 -9.35743  307.266 i
-8.18182 -9.35743  301.221 i
-7.9798 -9.35743  295.258 i
-7.77778 -9.35743  289.376 i
-7.57576 -9.35743  283.576 i
-7.37374 -9.35743  277.857 i
-7.17172 -9.35743  272.22 i
-6.9697 -9.35743  266.665 i
-6.76768 -9.35743  261.191 i
-6.56566 -9.35743  255.799 i
-6.36364 -9.35743  250.489 i
-6.16162 -9.35743  245.26 i
-5.9596 -9.35743  240.113 i
-5.75758 -9.35743  235.047 i
-5.55556 -9.35743  230.063 i
-5.35354 -9.35743  225.161 i
-5.15152 -9.35743  220.34 i
-4.94949 -9.35743  215.601 i
-4.74747 -9.35743  210.944 i
-4.54545 -9.35743  206.368 i
-4.34343 -9.35743  201.874 i
-4.14141 -9.35743  197.461 i
-3.93939 -9.35743  193.13 i
-3.73737 -9.35743  188.881 i
-3.53535 -9.35743  184.713 i
-3.33333 -9.35743  180.627 i
-3.13131 -9.35743  176.623 i
-2.92929 -9.35743  172.7 i
-2.72727 -9.35743  168.859 i
-2.52525 -9.35743  165.099 i
-2.32323 -9.35743  161.421 i
-2.12121 -9.35743  157.825 i
-1.91919 -9.35743  154.31 i
-1.71717 -9.35743  150.877 i
-1.51515 -9.35743  147.525 i
-1.31313 -9.35743  144.256 i
-1.11111 -9.35743  141.067 i
-0.909091 -9.35743  137.961 i
-0.707071 -9.35743  134.936 i
-0.505051 -9.35743  131.992 i
-0.30303 -9.35743  129.131 i
-0.10101 -9.35743  126.351 i
 0.10101 -9.35743  123.652 i
 0.30303 -9.35743  121.035 i
 0.505051 -9.35743  118.5 i
 0.707071 -9.35743  116.047 i
 0.909091 -9.35743  113.675 i
 1.11111 -9.35743  111.384 i
 1.31313 -9.35743  109.175 i
 1.51515 -9.35743  107.048 i
 1.71717 -9.35743  105.003 i
 1.91919 -9.35743  103.039 i
 2.12121 -9.35743  101.157 i
 2.32323 -9.35743  99.3562 i
 2.52525 -9.35743  97.6372 i
 2.72727 -9.35743  95.9999 i
 2.92929 -9.35743  94.4441 i
 3.13131 -9.35743  92.97 i
 3.33333 -9.35743  91.5776 i
 3.53535 -9.35743  90.2667 i
 3.73737 -9.35743  89.0375 i
 3.93939 -9.35743  87.8899 i
 4.14141 -9.35743  86.8239 i
 4.34343 -9.35743  85.8395 i
 4.54545 -9.35743  84.9368 i
 4.74747 -9.35743  84.1157 i
 4.94949 -9.35743  83.3762 i
 5.15152 -9.35743  82.7183 i
 5.35354 -9.35743  82.1421 i
 5.55556 -9.35743  81.6475 i
 5.75758 -9.35743  81.2345 i
 5.9596 -9.35743  80.9031 i
 6.16162 -9.35743  80.6534 i
 6.36364 -9.35743  80.4853 i
 6.56566 -9.35743  80.3988 i
 6.76768 -9.35743  80.3939 i
 6.9697 -9.35743  80.4706 i
 7.17172 -9.35743  80.629 i
 7.37374 -9.35743  80.869 i
 7.57576 -9.35743  81.1907 i
 7.77778 -9.35743  81.5939 i
 7.9798 -9.35743  82.0788 i
 8.18182 -9.35743  82.6453 i
 8.38384 -9.35743  83.2934 i
 8.58586 -9.35743  84.0232 i
 8.78788 -9.35743  84.8346 i
 8.9899 -9.35743  85.7275 i
 9.19192 -9.35743  86.7022 i
 9.39394 -9.35743  87.7584 i
 9.59596 -9.35743  88.8963 i
 9.79798 -9.35743  90.1158 i
 10 -9.35743  91.4169 i

# IsoCurve 9, 100 points
# x y z type
-10 -9.27711  355.944 i
-9.79798 -9.27711  349.262 i
-9.59596 -9.27711  342.662 i
-9.39394 -9.27711  336.144 i
-9.19192 -9.27711  329.707 i
-8.9899 -9.27711  323.351 i
-8.78788 -9.27711  317.078 i
-8.58586 -9.27711  310.886 i
-8.38384 -9.27711  304.775 i
-8.18182 -9.27711  298.746 i
-7.9798 -9.27711  292.799 i
-7.77778 -9.27711  286.933 i
-7.57576 -9.27711  281.149 i
-7.37374 -9.27711  275.447 i
-7.17172 -9.27711  269.826 i
-6.9697 -9.27711  264.287 i
-6.76768 -9.27711  258.83 i
-6.56566 -9.27711  253.454 i
-6.36364 -9.27711  248.16 i
-6.16162 -9.27711  242.947 i
-5.9596 -9.27711  237.816 i
-5.75758 -9.27711  232.767 i
-5.55556 -9.27711  227.799 i
-5.35354 -9.27711  222.913 i
-5.15152 -9.27711  218.109 i
-4.94949 -9.27711  213.386 i
-4.74747 -9.27711  208.744 i
-4.54545 -9.27711  204.185 i
-4.34343 -9.27711  199.707 i
-4.14141 -9.27711  195.31 i
-3.93939 -9.27711  190.996 i
-3.73737 -9.27711  186.763 i
-3.53535 -9.27711  182.611 i
-3.33333 -9.27711  178.541 i
-3.13131 -9.27711  174.553 i
-2.92929 -9.27711  170.646 i
-2.72727 -9.27711  166.821 i
-2.52525 -9.27711  163.078 i
-2.32323 -9.27711  159.416 i
-2.12121 -9.27711  155.836 i
-1.91919 -9.27711  152.338 i
-1.71717 -9.27711  148.921 i
-1.51515 -9.27711  145.586 i
-1.31313 -9.27711  142.332 i
-1.11111 -9.27711  139.16 i
-0.909091 -9.27711  136.07 i
-0.707071 -9.27711  133.061 i
-0.505051 -9.27711  130.134 i
-0.30303 -9.27711  127.288 i
-0.10101 -9.27711  124.524 i
 0.10101 -9.27711  121.842 i
 0.30303 -9.27711  119.242 i
 0.505051 -9.27711  116.723 i
 0.707071 -9.27711  114.285 i
 0.909091 -9.27711  111.93 i
 1.11111 -9.27711  109.655 i
 1.31313 -9.27711  107.463 i
 1.51515 -9.27711  105.352 i
 1.71717 -9.27711  103.323 i
 1.91919 -9.27711  101.375 i
 2.12121 -9.27711  99.5092 i
 2.32323 -9.27711  97.7248 i
 2.52525 -9.27711  96.022 i
 2.72727 -9.27711  94.4009 i
 2.92929 -9.27711  92.8614 i
 3.13131 -9.27711  91.4035 i
 3.33333 -9.27711  90.0273 i
 3.53535 -9.27711  88.7326 i
 3.73737 -9.27711  87.5196 i
 3.93939 -9.27711  86.3882 i
 4.14141 -9.27711  85.3385 i
 4.34343 -9.27711  84.3703 i
 4.54545 -9.27711  83.4838 i
 4.74747 -9.27711  82.679 i
 4.94949 -9.27711  81.9557 i
 5.15152 -9.27711  81.3141 i
 5.35354 -9.27711  80.754 i
 5.55556 -9.27711  80.2757 i
 5.75758 -9.27711  79.8789 i
 5.9596 -9.27711  79.5638 i
 6.16162 -9.27711  79.3302 i
 6.36364 -9.27711  79.1784 i
 6.56566 -9.27711  79.1081 i
 6.76768 -9.27711  79.1194 i
 6.9697 -9.27711  79.2124 i
 7.17172 -9.27711  79.387 i
 7.37374 -9.27711  79.6433 i
 7.57576 -9.27711  79.9811 i
 7.77778 -9.27711  80.4006 i
 7.9798 -9.27711  80.9017 i
 8.18182 -9.27711  81.4844 i
 8.38384 -9.27711  82.1488 i
 8.58586 -9.27711  82.8948 i
 8.78788 -9.27711  83.7224 i
 8.9899 -9.27711  84.6316 i
 9.19192 -9.27711  85.6224 i
 9.39394 -9.27711  86.6949 i
 9.59596 -9.27711  87.849 i
 9.79798 -9.27711  89.0847 i
 10 -9.27711  90.4021 i

# IsoCurve 10, 100 points
# x y z type
-10 -9.19679  353.336 i
-9.79798 -9.19679  346.67 i
-9.59596 -9.19679  340.086 i
-9.39394 -9.19679  333.584 i
-9.19192 -9.19679  327.163 i
-8.9899 -9.19679  320.824 i
-8.78788 -9.19679  314.567 i
-8.58586 -9.19679  308.391 i
-8.38384 -9.19679  302.297 i
-8.18182 -9.19679  296.284 i
-7.9798 -9.19679  290.353 i
-7.77778 -9.19679  284.504 i
-7.57576 -9.19679  278.736 i
-7.37374 -9.19679  273.05 i
-7.17172 -9.19679  267.445 i
-6.9697 -9.19679  261.922 i
-6.76768 -9.19679  256.481 i
-6.56566 -9.19679  251.121 i
-6.36364 -9.19679  245.843 i
-6.16162 -9.19679  240.647 i
-5.9596 -9.19679  235.532 i
-5.75758 -9.19679  230.499 i
-5.55556 -9.19679  225.548 i
-5.35354 -9.19679  220.678 i
-5.15152 -9.19679  215.89 i
-4.94949 -9.19679  211.183 i
-4.74747 -9.19679  206.558 i
-4.54545 -9.19679  202.015 i
-4.34343 -9.19679  197.553 i
-4.14141 -9.19679  193.173 i
-3.93939 -9.19679  188.874 i
-3.73737 -9.19679  184.657 i
-3.53535 -9.19679  180.522 i
-3.33333 -9.19679  176.468 i
-3.13131 -9.19679  172.496 i
-2.92929 -9.19679  168.606 i
-2.72727 -9.19679  164.797 i
-2.52525 -9.19679  161.07 i
-2.32323 -9.19679  157.425 i
-2.12121 -9.19679  153.861 i
-1.91919 -9.19679  150.379 i
-1.71717 -9.19679  146.978 i
-1.51515 -9.19679  143.659 i
-1.31313 -9.19679  140.421 i
-1.11111 -9.19679  137.266 i
-0.909091 -9.19679  134.192 i
-0.707071 -9.19679  131.199 i
-0.505051 -9.19679  128.288 i
-0.30303 -9.19679  125.459 i
-0.10101 -9.19679  122.711 i
 0.10101 -9.19679  120.045 i
 0.30303 -9.19679  117.461 i
 0.505051 -9.19679  114.958 i
 0.707071 -9.19679  112.537 i
 0.909091 -9.19679  110.197 i
 1.11111 -9.19679  107.94 i
 1.31313 -9.19679  105.763 i
 1.51515 -9.19679  103.669 i
 1.71717 -9.19679  101.656 i
 1.91919 -9.19679  99.7242 i
 2.12121 -9.19679  97.8744 i
 2.32323 -9.19679  96.1062 i
 2.52525 -9.19679  94.4197 i
 2.72727 -9.19679  92.8148 i
 2.92929 -9.19679  91.2915 i
 3.13131 -9.19679  89.8499 i
 3.33333 -9.19679  88.4899 i
 3.53535 -9.19679  87.2115 i
 3.73737 -9.19679  86.0147 i
 3.93939 -9.19679  84.8995 i
 4.14141 -9.19679  83.866 i
 4.34343 -9.19679  82.9141 i
 4.54545 -9.19679  82.0438 i
 4.74747 -9.19679  81.2551 i
 4.94949 -9.19679  80.5481 i
 5.15152 -9.19679  79.9227 i
 5.35354 -9.19679  79.3789 i
 5.55556 -9.19679  78.9168 i
 5.75758 -9.19679  78.5362 i
 5.9596 -9.19679  78.2373 i
 6.16162 -9.19679  78.02 i
 6.36364 -9.19679  77.8844 i
 6.56566 -9.19679  77.8303 i
 6.76768 -9.19679  77.8579 i
 6.9697 -9.19679  77.9671 i
 7.17172 -9.19679  78.1579 i
 7.37374 -9.19679  78.4304 i
 7.57576 -9.19679  78.7845 i
 7.77778 -9.19679  79.2202 i
 7.9798 -9.19679  79.7375 i
 8.18182 -9.19679  80.3365 i
 8.38384 -9.19679  81.0171 i
 8.58586 -9.19679  81.7793 i
 8.78788 -9.19679  82.6231 i
 8.9899 -9.19679  83.5485 i
 9.19192 -9.19679  84.5556 i
 9.39394 -9.19679  85.6443 i
 9.59596 -9.19679  86.8146 i
 9.79798 -9.19679  88.0666 i
 10 -9.19679  89.4002 i

# IsoCurve 11, 100 points
# x y z type
-10 -9.11647  350.74 i
-9.79798 -9.11647  344.091 i
-9.59596 -9.11647  337.523 i
-9.39394 -9.11647  331.037 i
-9.19192 -9.11647  324.633 i
-8.9899 -9.11647  318.31 i
-8.78788 -9.11647  312.069 i
-8.58586 -9.11647  305.909 i
-8.38384 -9.11647  299.831 i
-8.18182 -9.11647  293.835 i
-7.9798 -9.11647  287.92 i
-7.77778 -9.11647  282.087 i
-7.57576 -9.11647  276.335 i
-7.37374 -9.11647  270.665 i
-7.17172 -9.11647  265.077 i
-6.9697 -9.11647  259.57 i
-6.76768 -9.11647  254.145 i
-6.56566 -9.11647  248.802 i
-6.36364 -9.11647  243.54 i
-6.16162 -9.11647  238.36 i
-5.9596 -9.11647  233.261 i
-5.75758 -9.11647  228.245 i
-5.55556 -9.11647  223.309 i
-5.35354 -9.11647  218.456 i
-5.15152 -9.11647  213.684 i
-4.94949 -9.11647  208.993 i
-4.74747 -9.11647  204.384 i
-4.54545 -9.11647  199.857 i
-4.34343 -9.11647  195.412 i
-4.14141 -9.11647  191.048 i
-3.93939 -9.11647  186.766 i
-3.73737 -9.11647  182.565 i
-3.53535 -9.11647  178.446 i
-3.33333 -9.11647  174.408 i
-3.13131 -9.11647  170.453 i
-2.92929 -9.11647  166.579 i
-2.72727 -9.11647  162.786 i
-2.52525 -9.11647  159.075 i
-2.32323 -9.11647  155.446 i
-2.12121 -9.11647  151.898 i
-1.91919 -9.11647  148.432 i
-1.71717 -9.11647  145.048 i
-1.51515 -9.11647  141.745 i
-1.31313 -9.11647  138.524 i
-1.11111 -9.11647  135.384 i
-0.909091 -9.11647  132.326 i
-0.707071 -9.11647  129.35 i
-0.505051 -9.11647  126.455 i
-0.30303 -9.11647  123.642 i
-0.10101 -9.11647  120.911 i
 0.10101 -9.11647  118.261 i
 0.30303 -9.11647  115.693 i
 0.505051 -9.11647  113.206 i
 0.707071 -9.11647  110.801 i
 0.909091 -9.11647  108.478 i
 1.11111 -9.11647  106.237 i
 1.31313 -9.11647  104.076 i
 1.51515 -9.11647  101.998 i
 1.71717 -9.11647  100.001 i
 1.91919 -9.11647  98.0861 i
 2.12121 -9.11647  96.2525 i
 2.32323 -9.11647  94.5006 i
 2.52525 -9.11647  92.8303 i
 2.72727 -9.11647  91.2417 i
 2.92929 -9.11647  89.7346 i
 3.13131 -9.11647  88.3092 i
 3.33333 -9.11647  86.9654 i
 3.53535 -9.11647  85.7032 i
 3.73737 -9.11647  84.5226 i
 3.93939 -9.11647  83.4237 i
 4.14141 -9.11647  82.4064 i
 4.34343 -9.11647  81.4707 i
 4.54545 -9.11647  80.6167 i
 4.74747 -9.11647  79.8442 i
 4.94949 -9.11647  79.1534 i
 5.15152 -9.11647  78.5442 i
 5.35354 -9.11647  78.0167 i
 5.55556 -9.11647  77.5708 i
 5.75758 -9.11647  77.2064 i
 5.9596 -9.11647  76.9238 i
 6.16162 -9.11647  76.7227 i
 6.36364 -9.11647  76.6033 i
 6.56566 -9.11647  76.5654 i
 6.76768 -9.11647  76.6093 i
 6.9697 -9.11647  76.7347 i
 7.17172 -9.11647  76.9418 i
 7.37374 -9.11647  77.2304 i
 7.57576 -9.11647  77.6008 i
 7.77778 -9.11647  78.0527 i
 7.9798 -9.11647  78.5862 i
 8.18182 -9.11647  79.2014 i
 8.38384 -9.11647  79.8982 i
 8.58586 -9.11647  80.6767 i
 8.78788 -9.11647  81.5367 i
 8.9899 -9.11647  82.4784 i
 9.19192 -9.11647  83.5017 i
 9.39394 -9.11647  84.6066 i
 9.59596 -9.11647  85.7932 i
 9.79798 -9.11647  87.0614 i
 10 -9.11647  88.4112 i

# IsoCurve 12, 100 points
# x y z type
-10 -9.03614  348.158 i
-9.79798 -9.03614  341.525 i
-9.59596 -9.03614  334.973 i
-9.39394 -9.03614  328.503 i
-9.19192 -9.03614  322.115 i
-8.9899 -9.03614  315.808 i
-8.78788 -9.03614  309.583 i
-8.58586 -9.03614  303.44 i
-8.38384 -9.03614  297.378 i
-8.18182 -9.03614  291.398 i
-7.9798 -9.03614  285.499 i
-7.77778 -9.03614  279.683 i
-7.57576 -9.03614  273.947 i
-7.37374 -9.03614  268.294 i
-7.17172 -9.03614  262.722 i
-6.9697 -9.03614  257.231 i
-6.76768 -9.03614  251.822 i
-6.56566 -9.03614  246.495 i
-6.36364 -9.03614  241.25 i
-6.16162 -9.03614  236.086 i
-5.9596 -9.03614  231.003 i
-5.75758 -9.03614  226.003 i
-5.55556 -9.03614  221.084 i
-5.35354 -9.03614  216.246 i
-5.15152 -9.03614  211.49 i
-4.94949 -9.03614  206.816 i
-4.74747 -9.03614  202.224 i
-4.54545 -9.03614  197.713 i
-4.34343 -9.03614  193.284 i
-4.14141 -9.03614  188.936 i
-3.93939 -9.03614  184.67 i
-3.73737 -9.03614  180.485 i
-3.53535 -9.03614  176.383 i
-3.33333 -9.03614  172.361 i
-3.13131 -9.03614  168.422 i
-2.92929 -9.03614  164.564 i
-2.72727 -9.03614  160.788 i
-2.52525 -9.03614  157.093 i
-2.32323 -9.03614  153.48 i
-2.12121 -9.03614  149.948 i
-1.91919 -9.03614  146.499 i
-1.71717 -9.03614  143.13 i
-1.51515 -9.03614  139.844 i
-1.31313 -9.03614  136.639 i
-1.11111 -9.03614  133.516 i
-0.909091 -9.03614  130.474 i
-0.707071 -9.03614  127.514 i
-0.505051 -9.03614  124.635 i
-0.30303 -9.03614  121.839 i
-0.10101 -9.03614  119.123 i
 0.10101 -9.03614  116.49 i
 0.30303 -9.03614  113.938 i
 0.505051 -9.03614  111.468 i
 0.707071 -9.03614  109.079 i
 0.909091 -9.03614  106.772 i
 1.11111 -9.03614  104.546 i
 1.31313 -9.03614  102.403 i
 1.51515 -9.03614  100.34 i
 1.71717 -9.03614  98.3599 i
 1.91919 -9.03614  96.4609 i
 2.12121 -9.03614  94.6436 i
 2.32323 -9.03614  92.9079 i
 2.52525 -9.03614  91.2538 i
 2.72727 -9.03614  89.6814 i
 2.92929 -9.03614  88.1906 i
 3.13131 -9.03614  86.7814 i
 3.33333 -9.03614  85.4538 i
 3.53535 -9.03614  84.2078 i
 3.73737 -9.03614  83.0435 i
 3.93939 -9.03614  81.9608 i
 4.14141 -9.03614  80.9597 i
 4.34343 -9.03614  80.0403 i
 4.54545 -9.03614  79.2024 i
 4.74747 -9.03614  78.4462 i
 4.94949 -9.03614  77.7717 i
 5.15152 -9.03614  77.1787 i
 5.35354 -9.03614  76.6674 i
 5.55556 -9.03614  76.2377 i
 5.75758 -9.03614  75.8896 i
 5.9596 -9.03614  75.6231 i
 6.16162 -9.03614  75.4383 i
 6.36364 -9.03614  75.3351 i
 6.56566 -9.03614  75.3135 i
 6.76768 -9.03614  75.3735 i
 6.9697 -9.03614  75.5152 i
 7.17172 -9.03614  75.7385 i
 7.37374 -9.03614  76.0434 i
 7.57576 -9.03614  76.4299 i
 7.77778 -9.03614  76.8981 i
 7.9798 -9.03614  77.4479 i
 8.18182 -9.03614  78.0793 i
 8.38384 -9.03614  78.7923 i
 8.58586 -9.03614  79.587 i
 8.78788 -9.03614  80.4632 i
 8.9899 -9.03614  81.4211 i
 9.19192 -9.03614  82.4607 i
 9.39394 -9.03614  83.5818 i
 9.59596 -9.03614  84.7846 i
 9.79798 -9.03614  86.069 i
 10 -9.03614  87.435 i

# IsoCurve 13, 100 points
# x y z type
-10 -8.95582  345.588 i
-9.79798 -8.95582  338.971 i
-9.59596 -8.95582  332.436 i
-9.39394 -8.95582  325.982 i
-9.19192 -8.95582  319.61 i
-8.9899 -8.95582  313.32 i
-8.78788 -8.95582  307.111 i
-8.58586 -8.95582  300.984 i
-8.38384 -8.95582  294.938 i
-8.18182 -8.95582  288.974 i
-7.9798 -8.95582  283.092 i
-7.77778 -8.95582  277.291 i
-7.57576 -8.95582  271.572 i
-7.37374 -8.95582  265.935 i
-7.17172 -8.95582  260.379 i
-6.9697 -8.95582  254.905 i
-6.76768 -8.95582  249.512 i
-6.56566 -8.95582  244.201 i
-6.36364 -8.95582  238.972 i
-6.16162 -8.95582  233.824 i
-5.9596 -8.95582  228.758 i
-5.75758 -8.95582  223.774 i
-5.55556 -8.95582  218.871 i
-5.35354 -8.95582  214.05 i
-5.15152 -8.95582  209.31 i
-4.94949 -8.95582  204.652 i
-4.74747 -8.95582  200.076 i
-4.54545 -8.95582  195.581 i
-4.34343 -8.95582  191.168 i
-4.14141 -8.95582  186.837 i
-3.93939 -8.95582  182.587 i
-3.73737 -8.95582  178.419 i
-3.53535 -8.95582  174.332 i
-3.33333 -8.95582  170.327 i
-3.13131 -8.95582  166.404 i
-2.92929 -8.95582  162.562 i
-2.72727 -8.95582  158.802 i
-2.52525 -8.95582  155.124 i
-2.32323 -8.95582  151.527 i
-2.12121 -8.95582  148.012 i
-1.91919 -8.95582  144.578 i
-1.71717 -8.95582  141.226 i
-1.51515 -8.95582  137.956 i
-1.31313 -8.95582  134.767 i
-1.11111 -8.95582  131.66 i
-0.909091 -8.95582  128.635 i
-0.707071 -8.95582  125.691 i
-0.505051 -8.95582  122.828 i
-0.30303 -8.95582  120.048 i
-0.10101 -8.95582  117.349 i
 0.10101 -8.95582  114.732 i
 0.30303 -8.95582  112.196 i
 0.505051 -8.95582  109.742 i
 0.707071 -8.95582  107.369 i
 0.909091 -8.95582  105.078 i
 1.11111 -8.95582  102.869 i
 1.31313 -8.95582  100.742 i
 1.51515 -8.95582  98.6957 i
 1.71717 -8.95582  96.7314 i
 1.91919 -8.95582  94.8487 i
 2.12121 -8.95582  93.0476 i
 2.32323 -8.95582  91.3281 i
 2.52525 -8.95582  89.6902 i
 2.72727 -8.95582  88.134 i
 2.92929 -8.95582  86.6594 i
 3.13131 -8.95582  85.2664 i
 3.33333 -8.95582  83.9551 i
 3.53535 -8.95582  82.7254 i
 3.73737 -8.95582  81.5773 i
 3.93939 -8.95582  80.5108 i
 4.14141 -8.95582  79.5259 i
 4.34343 -8.95582  78.6227 i
 4.54545 -8.95582  77.8011 i
 4.74747 -8.95582  77.0611 i
 4.94949 -8.95582  76.4028 i
 5.15152 -8.95582  75.8261 i
 5.35354 -8.95582  75.3309 i
 5.55556 -8.95582  74.9175 i
 5.75758 -8.95582  74.5856 i
 5.9596 -8.95582  74.3354 i
 6.16162 -8.95582  74.1668 i
 6.36364 -8.95582  74.0798 i
 6.56566 -8.95582  74.0744 i
 6.76768 -8.95582  74.1507 i
 6.9697 -8.95582  74.3086 i
 7.17172 -8.95582  74.5481 i
 7.37374 -8.95582  74.8692 i
 7.57576 -8.95582  75.272 i
 7.77778 -8.95582  75.7564 i
 7.9798 -8.95582  76.3224 i
 8.18182 -8.95582  76.97 i
 8.38384 -8.95582  77.6993 i
 8.58586 -8.95582  78.5102 i
 8.78788 -8.95582  79.4027 i
 8.9899 -8.95582  80.3768 i
 9.19192 -8.95582  81.4326 i
 9.39394 -8.95582  82.5699 i
 9.59596 -8.95582  83.7889 i
 9.79798 -8.95582  85.0896 i
 10 -8.95582  86.4718 i

# IsoCurve 14, 100 points
# x y z type
-10 -8.8755  343.032 i
-9.79798 -8.8755  336.431 i
-9.59596 -8.8755  329.912 i
-9.39394 -8.8755  323.474 i
-9.19192 -8.8755  317.118 i
-8.9899 -8.8755  310.844 i
-8.78788 -8.8755  304.652 i
-8.58586 -8.8755  298.541 i
-8.38384 -8.8755  292.511 i
-8.18182 -8.8755  286.564 i
-7.9798 -8.8755  280.698 i
-7.77778 -8.8755  274.913 i
-7.57576 -8.8755  269.21 i
-7.37374 -8.8755  263.589 i
-7.17172 -8.8755  258.05 i
-6.9697 -8.8755  252.592 i
-6.76768 -8.8755  247.215 i
-6.56566 -8.8755  241.921 i
-6.36364 -8.8755  236.707 i
-6.16162 -8.8755  231.576 i
-5.9596 -8.8755  226.526 i
-5.75758 -8.8755  221.558 i
-5.55556 -8.8755  216.671 i
-5.35354 -8.8755  211.866 i
-5.15152 -8.8755  207.143 i
-4.94949 -8.8755  202.501 i
-4.74747 -8.8755  197.941 i
-4.54545 -8.8755  193.463 i
-4.34343 -8.8755  189.066 i
-4.14141 -8.8755  184.751 i
-3.93939 -8.8755  180.517 i
-3.73737 -8.8755  176.365 i
-3.53535 -8.8755  172.295 i
-3.33333 -8.8755  168.306 i
-3.13131 -8.8755  164.399 i
-2.92929 -8.8755  160.573 i
-2.72727 -8.8755  156.83 i
-2.52525 -8.8755  153.167 i
-2.32323 -8.8755  149.587 i
-2.12121 -8.8755  146.088 i
-1.91919 -8.8755  142.67 i
-1.71717 -8.8755  139.335 i
-1.51515 -8.8755  136.081 i
-1.31313 -8.8755  132.908 i
-1.11111 -8.8755  129.817 i
-0.909091 -8.8755  126.808 i
-0.707071 -8.8755  123.88 i
-0.505051 -8.8755  121.034 i
-0.30303 -8.8755  118.27 i
-0.10101 -8.8755  115.587 i
 0.10101 -8.8755  112.986 i
 0.30303 -8.8755  110.467 i
 0.505051 -8.8755  108.029 i
 0.707071 -8.8755  105.673 i
 0.909091 -8.8755  103.398 i
 1.11111 -8.8755  101.205 i
 1.31313 -8.8755  99.0936 i
 1.51515 -8.8755  97.0639 i
 1.71717 -8.8755  95.1158 i
 1.91919 -8.8755  93.2493 i
 2.12121 -8.8755  91.4644 i
 2.32323 -8.8755  89.7612 i
 2.52525 -8.8755  88.1396 i
 2.72727 -8.8755  86.5996 i
 2.92929 -8.8755  85.1412 i
 3.13131 -8.8755  83.7644 i
 3.33333 -8.8755  82.4693 i
 3.53535 -8.8755  81.2558 i
 3.73737 -8.8755  80.1239 i
 3.93939 -8.8755  79.0737 i
 4.14141 -8.8755  78.1051 i
 4.34343 -8.8755  77.2181 i
 4.54545 -8.8755  76.4127 i
 4.74747 -8.8755  75.6889 i
 4.94949 -8.8755  75.0468 i
 5.15152 -8.8755  74.4863 i
 5.35354 -8.8755  74.0074 i
 5.55556 -8.8755  73.6102 i
 5.75758 -8.8755  73.2945 i
 5.9596 -8.8755  73.0605 i
 6.16162 -8.8755  72.9082 i
 6.36364 -8.8755  72.8374 i
 6.56566 -8.8755  72.8483 i
 6.76768 -8.8755  72.9408 i
 6.9697 -8.8755  73.1149 i
 7.17172 -8.8755  73.3706 i
 7.37374 -8.8755  73.708 i
 7.57576 -8.8755  74.127 i
 7.77778 -8.8755  74.6276 i
 7.9798 -8.8755  75.2098 i
 8.18182 -8.8755  75.8737 i
 8.38384 -8.8755  76.6192 i
 8.58586 -8.8755  77.4463 i
 8.78788 -8.8755  78.355 i
 8.9899 -8.8755  79.3454 i
 9.19192 -8.8755  80.4173 i
 9.39394 -8.8755  81.571 i
 9.59596 -8.8755  82.8062 i
 9.79798 -8.8755  84.123 i
 10 -8.8755  85.5215 i

# IsoCurve 15, 100 points
# x y z type
-10 -8.79518  340.488 i
-9.79798 -8.79518  333.903 i
-9.59596 -8.79518  327.4 i
-9.39394 -8.79518  320.979 i
-9.19192 -8.79518  314.64 i
-8.9899 -8.79518  308.382 i
-8.78788 -8.79518  302.205 i
-8.58586 -8.79518  296.111 i
-8.38384 -8.79518  290.097 i
-8.18182 -8.79518  284.166 i
-7.9798 -8.79518  278.316 i
-7.77778 -8.79518  272.548 i
-7.57576 -8.79518  266.861 i
-7.37374 -8.79518  261.256 i
-7.17172 -8.79518  255.733 i
-6.9697 -8.79518  250.291 i
-6.76768 -8.79518  244.931 i
-6.56566 -8.79518  239.653 i
-6.36364 -8.79518  234.456 i
